Total marker:	48		
Marker Number	Point 1	Point 2	Point 3
1	1	5	2
2	2	5	3
3	3	5	6
4	6	5	9
5	9	5	8
6	8	5	7
7	7	5	4
8	1	4	5
9	7	11	8
10	8	11	9
11	9	11	12
12	12	11	15
13	15	11	14
14	14	11	13
15	13	11	10
16	10	11	7
17	13	17	14
18	14	17	15
19	15	17	18
20	18	17	21
21	21	17	20
22	20	17	19
23	19	17	16
24	16	17	13
25	19	23	20
26	20	23	21
27	21	23	24
28	24	23	3
29	3	23	2
30	2	23	1
31	1	23	22
32	22	23	19
33	18	26	15
34	15	26	12
35	12	26	9
36	9	26	6
37	6	26	3
38	3	26	24
39	24	26	21
40	21	26	18
41	7	25	10
42	10	25	13
43	13	25	16
44	16	25	19
45	19	25	22
46	22	25	1
47	1	25	4
48	4	25	7
			
Total point:	26		
Point number	X	Y	Z
1	-1	1	2
2	0	1	2
3	1	1	2
4	-1	0	2
5	0	0	2
6	1	0	2
7	-1	-1	2
8	0	-1	2
9	1	-1	2
10	-1	-1	1
11	0	-1	1
12	1	-1	1
13	-1	-1	0
14	0	-1	0
15	1	-1	0
16	-1	0	0
17	0	0	0
18	1	0	0
19	-1	1	0
20	0	1	0
21	1	1	0
22	-1	1	1
23	0	1	1
24	1	1	1
25	-1	0	1
26	1	0	1
