Total marker:	48		
Marker Number	Point 1	Point 2	Point 3
1	1	2	3
2	2	7	11
3	7	8	13
4	8	9	13
5	9	33	15
6	33	10	15
7	1	5	6
8	1	4	5
9	1	3	4
10	4	3	12
11	3	11	12
12	12	11	13
13	11	7	13
14	13	9	14
15	14	9	15
16	15	10	16
17	5	4	23
18	4	12	23
19	23	12	24
20	12	13	24
21	24	13	25
22	25	13	26
23	13	14	26
24	26	14	16
25	14	15	16
26	6	5	17
27	17	5	19
28	19	5	21
29	5	23	21
30	21	23	22
31	23	24	22
32	22	24	25
33	25	26	28
34	28	26	27
35	26	16	27
36	27	16	29
37	27	29	28
38	17	19	18
39	18	19	20
40	19	21	20
41	20	21	22
42	20	22	32
43	22	25	32
44	32	25	31
45	31	25	30
46	25	28	30
47	28	29	30
48	3	2	11
			
Total point:	33		
Point number	X	Y	Z
1	0	0	0
2	2	-0.2	0
3	0.8	0.9	-2.4
4	0.7	1.2	0
5	0.6	3.1	1.6
6	0	3	0
7	5	-0.23	0
8	6.4	0	0
9	7.2	0	0
10	10.6	0	0
11	3	0.7	1.5
12	2.6	1.3	1.7
13	6.6	1.5	2.2
14	7.6	1.78	-2.4
15	10	1	3.7
16	10.6	5	0
17	0	7	0
18	0	9	0
19	0.6	8.2	4.2
20	1.4	9	0
21	0.9	7.2	3.7
22	5.2	8.2	-3.5
23	4.4	5.2	-3.9
24	5.4	5.8	-2.5
25	7	7.7	2.2
26	7.4	5.2	2.6
27	10	5.5	2.4
28	7.4	5.8	-3.1
29	11.2	8	0
30	10.8	9	0
31	7.4	9	0
32	5.8	9	0
33	10	0	0
